Doenças Inglês,Doenças português,Sintomas Inglês,Sintomas português
,,hip_joint_pain,Dor nas articulações do quadril
,,muscle_weakness,Fraqueza muscular
,,stiff_neck,Torcicolo
,,swelling_joints,Articulações inchadas
,,movement_stiffness,Rigidez de movimento
,,spinning_movements,
,,loss_of_balance,Perda de equilíbrio
,,unsteadiness,Instabilidade
,,weakness_of_one_body_side,Fraqueza de um lado do corpo
,,loss_of_smell,Perda do cheiro
,,bladder_discomfort,Desconforto na bexiga
,,foul_smell_ofurine,Mau cheiro de urina
,,continuous_feel_of_urine,Sensação contínua de urinar
,,passage_of_gases,Gases contínuos
,,internal_itching,Coceira interna
,,toxic_look_(typhos),
,,depression,Depressão
,,irritability,Irritabilidade
,,muscle_pain,Dor nos musculos
,,altered_sensorium,Sensorial alterado
,,red_spots_over_body,Manchas vermelhas no corpo
,,belly_pain,Dor de barriga
,,abnormal_menstruation,Menstruação anormal
,,dischromic_patches,Alteração na coloração da pele
,,watering_from_eyes,Lacrimejando
,,increased_appetite,Aumento de apetite
,,polyuria,Urina excessivamente 
,,family_history,Historico familiar
,,mucoid_sputum,Secreção esbranquiçado
,,rusty_sputum,Secreção marrom
,,lack_of_concentration,Falta de atenção
,,visual_disturbances,Distúrbios visuais
,,receiving_blood_transfusion,Recebeu transfusão de sangue
,,receiving_unsterile_injections,Recebeu injeções não estéreis
,,coma,Coma
,,stomach_bleeding,Sangramento estomacal
,,distention_of_abdomen,Distensão do abdome
,,history_of_alcohol_consumption,Historico de consumo de álcool
,,blood_in_sputum,Sangue na secreção
,,prominent_veins_on_calf,Veias elevadas na panturrilha
,,palpitations,Palpitações
,,painful_walking,Dor em andar
,,pus_filled_pimples,Espinhas cheias de pus
,,blackheads,Cravos
,,scurring,
,,skin_peeling,Descamação da pele
,,silver_like_dusting,Coloração azulada da pele
,,small_dents_in_nails,Pequenos amassados ​​nas unhas
,,inflammatory_nails,Unhas inflamadas
,,blister,Bolha de sangue ou transparente
,,red_sore_around_nose,Ferida vermelha ao redor do nariz
,,yellow_crust_ooze,Secreção de crosta amarela
